iter	Passed	Remaining
0	46	46904
1	47	23624
2	47	15858
3	48	11984
4	48	9639
5	48	8069
6	48	6948
7	49	6108
8	49	5457
9	49	4933
10	50	4503
11	50	4147
12	50	3843
13	50	3591
14	51	3366
15	51	3168
16	51	2994
17	52	2850
18	52	2711
19	52	2585
20	53	2472
21	53	2369
22	53	2282
23	54	2196
24	54	2119
25	54	2045
26	54	1978
27	55	1919
28	55	1867
29	56	1811
30	56	1761
31	56	1713
32	56	1667
33	57	1625
34	57	1584
35	57	1546
36	58	1509
37	58	1475
38	58	1443
39	58	1412
40	59	1382
41	59	1354
42	59	1327
43	59	1301
44	60	1277
45	60	1253
46	60	1231
47	61	1209
48	61	1189
49	61	1174
50	62	1156
51	62	1139
52	62	1124
53	63	1107
54	63	1090
55	63	1074
56	63	1058
57	64	1043
58	64	1029
59	64	1014
60	65	1001
61	65	987
62	65	974
63	65	962
64	66	950
65	66	938
66	66	927
67	66	916
68	67	905
69	67	895
70	67	886
71	68	877
72	68	868
73	68	862
74	69	853
75	69	844
76	69	836
77	70	827
78	70	819
79	70	811
80	70	804
81	71	797
82	71	788
83	71	780
84	71	773
85	72	766
86	72	760
87	72	753
88	73	747
89	73	741
90	73	734
91	73	728
92	74	723
93	74	717
94	74	711
95	74	705
96	75	700
97	75	695
98	75	689
99	76	685
100	76	680
101	76	675
102	76	670
103	77	665
104	77	660
105	77	656
106	78	651
107	78	647
108	78	642
109	78	638
110	79	633
111	79	629
112	79	625
113	79	621
114	80	617
115	80	613
116	80	609
117	81	605
118	81	602
119	81	598
120	81	595
121	82	591
122	82	587
123	82	584
124	83	581
125	83	578
126	83	575
127	83	572
128	84	569
129	84	566
130	84	563
131	85	561
132	85	558
133	85	555
134	86	552
135	86	549
136	86	547
137	87	544
138	87	541
139	87	538
140	87	535
141	88	532
142	88	529
143	88	527
144	88	524
145	89	521
146	89	519
147	89	516
148	89	513
149	90	511
150	90	508
151	90	506
152	91	504
153	91	501
154	91	499
155	91	497
156	92	494
157	92	492
158	92	490
159	92	488
160	93	485
161	93	482
162	93	480
163	93	478
164	94	476
165	94	474
166	94	472
167	95	470
168	95	468
169	95	466
170	95	464
171	96	462
172	96	460
173	96	459
174	96	457
175	97	455
176	97	453
177	97	451
178	98	449
179	98	448
180	98	446
181	98	444
182	99	443
183	99	441
184	99	439
185	100	438
186	100	436
187	100	434
188	100	432
189	101	431
190	101	429
191	101	427
192	101	426
193	102	424
194	102	423
195	102	421
196	103	420
197	103	418
198	103	416
199	103	415
200	104	413
201	104	412
202	104	411
203	105	409
204	105	408
205	105	406
206	105	405
207	106	403
208	106	402
209	106	400
210	106	399
211	107	398
212	107	397
213	107	395
214	108	394
215	108	393
216	108	392
217	108	390
218	109	389
219	109	388
220	109	386
221	110	385
222	110	386
223	111	385
224	111	384
225	111	383
226	112	382
227	112	381
228	112	380
229	113	378
230	113	377
231	113	376
232	113	375
233	114	374
234	114	372
235	114	371
236	115	370
237	115	369
238	115	368
239	115	366
240	116	365
241	116	365
242	116	364
243	117	363
244	117	361
245	117	360
246	118	359
247	118	358
248	118	357
249	118	356
250	119	355
251	119	354
252	119	353
253	120	352
254	120	351
255	120	350
256	121	349
257	121	349
258	121	348
259	121	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
266	124	340
267	124	339
268	124	339
269	125	338
270	125	337
271	125	336
272	125	335
273	126	334
274	126	333
275	126	332
276	127	331
277	127	330
278	127	330
279	128	329
280	128	328
281	128	327
282	128	326
283	129	325
284	129	324
285	129	324
286	130	323
287	130	322
288	130	322
289	131	321
290	131	320
291	131	319
292	132	319
293	132	318
294	132	317
295	133	316
296	133	315
297	133	314
298	133	313
299	134	312
300	134	312
301	134	311
302	135	310
303	135	309
304	135	308
305	135	308
306	136	307
307	136	306
308	136	305
309	137	305
310	137	304
311	137	303
312	138	303
313	138	302
314	138	301
315	139	301
316	139	300
317	139	299
318	140	298
319	140	298
320	140	297
321	140	296
322	141	296
323	141	295
324	141	294
325	142	294
326	142	293
327	142	292
328	143	292
329	143	291
330	143	290
331	143	289
332	144	288
333	144	288
334	144	287
335	145	286
336	145	286
337	145	285
338	146	285
339	146	284
340	146	283
341	147	283
342	147	282
343	148	282
344	148	282
345	148	281
346	149	280
347	149	279
348	149	279
349	149	278
350	150	277
351	150	277
352	150	276
353	151	275
354	151	275
355	151	274
356	152	273
357	152	273
358	152	273
359	153	272
360	153	272
361	154	271
362	154	271
363	154	270
364	155	270
365	155	269
366	155	268
367	156	268
368	156	267
369	156	267
370	157	266
371	157	266
372	158	265
373	158	265
374	158	264
375	159	264
376	159	263
377	159	262
378	160	262
379	160	261
380	160	261
381	161	260
382	161	260
383	161	259
384	162	259
385	162	258
386	162	257
387	163	257
388	163	256
389	163	255
390	163	255
391	164	254
392	164	253
393	164	253
394	164	252
395	165	251
396	165	251
397	165	250
398	165	250
399	166	249
400	166	248
401	166	248
402	167	247
403	167	246
404	167	246
405	167	245
406	168	245
407	168	244
408	168	243
409	169	243
410	169	242
411	169	242
412	170	241
413	170	241
414	170	240
415	170	240
416	171	239
417	171	238
418	171	238
419	172	237
420	172	237
421	173	237
422	173	236
423	173	236
424	174	235
425	174	235
426	174	234
427	175	233
428	175	233
429	175	232
430	175	232
431	176	231
432	176	230
433	176	230
434	176	229
435	177	229
436	177	228
437	177	228
438	178	227
439	178	226
440	178	226
441	178	225
442	179	225
443	179	224
444	179	224
445	180	223
446	180	223
447	180	223
448	181	222
449	181	221
450	181	221
451	182	220
452	182	220
453	182	219
454	183	219
455	183	218
456	183	218
457	184	217
458	184	217
459	184	216
460	184	216
461	185	215
462	185	215
463	185	214
464	185	213
465	186	213
466	186	212
467	186	212
468	187	211
469	187	211
470	187	210
471	187	210
472	188	209
473	188	209
474	188	208
475	188	208
476	189	208
477	190	207
478	190	207
479	190	206
480	191	206
481	191	205
482	191	205
483	191	204
484	192	204
485	192	203
486	192	202
487	192	202
488	193	201
489	193	201
490	194	201
491	194	200
492	194	200
493	194	199
494	195	199
495	195	198
496	195	198
497	196	197
498	196	197
499	196	196
500	196	196
501	197	195
502	197	195
503	197	194
504	198	194
505	198	193
506	198	193
507	198	192
508	199	192
509	199	191
510	200	191
511	200	191
512	201	191
513	201	190
514	201	190
515	202	189
516	202	189
517	202	188
518	203	188
519	203	187
520	203	187
521	203	186
