iter	Passed	Remaining
0	47	46981
1	47	23760
2	47	15907
3	48	12021
4	48	9670
5	48	8100
6	49	6974
7	49	6132
8	49	5476
9	50	4953
10	50	4526
11	50	4167
12	50	3863
13	51	3603
14	51	3378
15	51	3180
16	51	3005
17	52	2850
18	52	2711
19	52	2587
20	53	2478
21	53	2376
22	53	2282
23	53	2195
24	54	2116
25	54	2042
26	54	1974
27	55	1911
28	55	1856
29	55	1801
30	55	1749
31	56	1703
32	56	1658
33	56	1619
34	57	1580
35	57	1542
36	57	1506
37	58	1472
38	58	1439
39	58	1407
40	58	1377
41	59	1349
42	59	1323
43	59	1297
44	60	1273
45	60	1249
46	60	1227
47	60	1205
48	61	1185
49	61	1166
50	61	1147
51	61	1129
52	62	1112
53	62	1096
54	62	1080
55	63	1064
56	63	1050
57	63	1036
58	64	1023
59	64	1009
60	64	997
61	65	984
62	65	971
63	65	959
64	65	948
65	66	938
66	66	927
67	66	917
68	67	907
69	67	896
70	67	886
71	68	877
72	68	868
73	68	859
74	68	850
75	69	841
76	69	833
77	69	825
78	70	816
79	70	808
80	70	800
81	70	792
82	70	783
83	71	776
84	71	769
85	71	762
86	72	755
87	72	749
88	72	742
89	72	737
90	73	730
91	74	731
92	74	725
93	74	719
94	74	713
95	75	708
96	75	702
97	75	696
98	76	691
99	76	686
100	76	681
101	76	676
102	77	671
103	77	666
104	77	662
105	77	657
106	78	653
107	78	648
108	78	643
109	79	639
110	79	634
111	79	630
112	79	626
113	80	622
114	80	617
115	80	614
116	80	610
117	81	606
118	81	602
119	81	599
120	82	596
121	82	592
122	82	588
123	82	585
124	83	581
125	83	578
126	83	574
127	83	571
128	84	568
129	84	565
130	84	561
131	84	558
132	85	555
133	85	552
134	85	549
135	86	547
136	86	544
137	86	541
138	86	538
139	87	535
140	87	532
141	87	529
142	87	526
143	88	523
144	88	520
145	88	518
146	88	515
147	89	513
148	89	510
149	89	508
150	89	505
151	90	503
152	90	500
153	90	498
154	90	495
155	91	493
156	91	490
157	91	488
158	91	486
159	92	484
160	92	481
161	92	479
162	92	477
163	93	475
164	93	473
165	93	471
166	94	469
167	94	467
168	94	465
169	94	463
170	95	463
171	95	461
172	96	460
173	96	459
174	97	457
175	97	455
176	97	453
177	97	452
178	98	450
179	98	448
180	98	446
181	99	445
182	99	443
183	99	441
184	99	440
185	100	438
186	100	437
187	101	438
188	101	437
189	102	435
190	102	433
191	103	434
192	103	433
193	103	431
194	104	430
195	104	428
196	104	427
197	105	425
198	105	424
199	105	423
200	106	421
201	106	420
202	106	419
203	107	417
204	107	416
205	107	414
206	107	413
207	108	412
208	108	410
209	108	409
210	109	407
211	109	407
212	110	406
213	110	405
214	110	403
215	110	402
216	111	400
217	111	399
218	111	398
219	112	397
220	112	395
221	112	394
222	112	393
223	113	392
224	113	391
225	113	390
226	114	389
227	114	387
228	114	386
229	115	385
230	115	384
231	115	383
232	116	381
233	116	380
234	116	379
235	116	378
236	117	377
237	117	376
238	117	374
239	118	373
240	118	372
241	118	371
242	118	370
243	119	369
244	119	368
245	119	366
246	119	365
247	120	364
248	120	364
249	121	363
250	121	362
251	121	361
252	123	364
253	123	363
254	124	362
255	124	361
256	124	360
257	125	360
258	125	359
259	125	358
260	126	357
261	126	356
262	126	355
263	127	354
264	127	353
265	127	352
266	127	351
267	128	350
268	128	349
269	128	348
270	129	347
271	129	346
272	129	345
273	130	344
274	130	343
275	130	342
276	131	342
277	131	341
278	131	340
279	131	339
280	132	338
281	132	337
282	132	336
283	133	335
284	133	334
285	134	334
286	134	334
287	135	334
288	136	334
289	136	334
290	137	335
291	138	335
292	138	334
293	138	333
294	139	332
295	139	331
296	139	331
297	140	330
298	141	330
299	141	329
300	141	329
301	142	328
302	142	327
303	151	346
304	151	346
305	152	345
306	152	344
307	153	344
308	153	343
309	153	342
310	154	341
311	154	340
312	154	339
313	155	339
314	155	338
315	155	337
316	156	336
317	156	335
318	156	334
319	157	333
320	157	332
321	157	331
322	157	331
323	158	330
324	158	329
325	158	328
326	159	327
327	159	326
328	159	325
329	160	325
330	160	324
331	160	323
332	161	322
333	161	321
334	161	320
335	161	319
336	162	319
337	162	318
338	162	317
339	163	316
340	163	315
341	163	314
342	164	314
343	164	313
344	165	313
345	165	312
346	165	312
347	166	311
348	166	310
349	166	309
350	166	308
351	167	307
352	167	307
353	167	306
354	168	305
355	168	304
356	168	304
357	169	303
358	169	302
359	169	301
360	170	300
361	170	300
362	170	299
363	170	298
364	171	297
365	171	297
366	171	296
367	172	295
368	172	294
369	172	294
370	173	293
371	173	292
372	173	292
373	174	291
374	174	290
375	174	290
376	175	289
377	175	288
378	175	288
379	176	287
380	176	286
381	176	285
382	177	285
383	177	284
384	177	283
385	177	283
386	178	282
387	178	281
388	178	280
389	179	280
390	179	279
391	179	278
392	180	278
393	180	277
394	180	276
395	181	276
396	181	275
397	181	274
398	181	274
399	182	273
400	182	272
401	182	271
402	183	271
403	183	270
404	183	269
405	183	268
406	184	268
407	184	267
408	184	266
409	184	266
410	185	265
411	185	264
412	185	264
413	186	263
414	186	262
415	186	261
416	186	261
417	187	260
418	187	259
419	187	259
420	188	258
421	188	257
422	188	257
423	188	256
424	189	255
425	189	255
426	189	254
427	189	253
428	190	253
429	190	252
430	191	252
431	191	251
432	191	250
433	191	250
434	192	249
435	192	249
436	192	248
437	193	247
438	193	247
439	193	246
440	193	245
441	194	245
442	194	244
443	194	243
444	195	243
445	195	242
446	195	242
447	196	241
448	196	240
449	196	240
450	196	239
451	197	238
452	197	238
453	197	237
454	198	237
455	198	236
456	198	235
457	198	235
458	199	234
459	199	234
460	199	233
461	200	232
462	200	232
463	200	231
464	200	231
465	201	230
466	201	229
467	201	229
468	201	228
469	202	227
470	202	227
471	202	226
472	203	226
473	203	225
474	203	225
475	203	224
476	204	223
477	204	223
478	204	222
479	205	222
480	205	221
481	205	221
482	206	220
483	206	220
484	206	219
485	207	218
486	207	218
487	207	217
488	207	217
489	208	216
490	208	216
491	208	215
492	209	215
493	209	214
494	209	213
495	209	213
496	210	212
497	210	212
498	210	211
499	210	210
500	211	210
501	211	209
502	211	209
503	212	208
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	213	205
510	214	204
511	214	204
512	214	204
513	215	203
514	215	202
515	215	202
516	216	201
517	216	201
518	216	200
519	216	200
520	217	199
521	217	199
522	217	198
523	217	197
524	218	197
525	218	196
526	218	196
527	219	195
528	219	195
529	219	194
530	219	194
531	220	193
532	220	193
533	220	192
534	220	192
535	221	191
536	221	190
537	221	190
538	222	189
539	222	189
540	222	188
541	222	188
542	223	187
543	223	187
544	223	186
545	224	186
546	224	185
547	224	185
548	224	184
549	225	184
550	225	183
551	225	183
552	225	182
553	226	182
554	226	181
555	226	181
556	227	180
557	227	180
558	227	179
559	227	179
560	228	178
561	228	178
562	228	177
563	228	177
564	229	176
565	229	175
566	229	175
567	230	174
568	230	174
569	230	174
570	231	173
571	232	174
572	233	173
573	233	173
574	233	172
575	234	172
576	234	171
577	234	171
578	234	170
579	235	170
580	235	169
581	235	169
582	236	168
583	236	168
584	236	167
585	236	167
586	237	166
587	237	166
588	237	165
589	237	165
590	238	164
591	238	164
592	238	163
593	238	163
594	239	162
595	239	162
596	239	161
597	239	161
598	240	160
599	240	160
600	240	159
601	241	159
602	241	158
603	241	158
604	242	158
605	242	157
606	242	157
607	242	156
608	243	156
609	243	155
610	243	155
611	244	154
612	244	154
613	244	153
614	244	153
615	245	152
616	245	152
617	245	151
618	246	151
619	246	150
620	246	150
621	246	150
622	247	149
623	247	149
624	247	148
625	248	148
626	248	147
627	248	147
628	248	146
629	249	146
630	249	145
631	249	145
632	250	144
633	250	144
634	250	144
635	250	143
636	251	143
637	251	142
638	251	142
639	251	141
640	252	141
641	252	140
642	252	140
643	253	139
644	253	139
645	253	139
646	253	138
647	254	138
648	254	137
649	254	137
650	255	136
651	255	136
652	255	135
653	256	135
654	256	134
655	256	134
656	256	134
657	257	133
658	257	133
659	257	132
660	257	132
661	258	131
662	258	131
663	258	131
664	259	130
665	259	130
666	259	129
667	260	129
668	260	128
669	260	128
670	260	127
671	261	127
672	261	127
673	261	126
674	262	126
675	262	125
676	263	125
677	263	125
678	263	124
679	263	124
680	264	123
681	264	123
682	264	122
683	265	122
684	265	122
685	265	121
686	266	121
687	266	120
688	266	120
689	267	119
690	267	119
691	267	119
692	267	118
693	268	118
694	268	117
695	268	117
696	269	116
697	269	116
698	269	116
699	269	115
700	270	115
701	270	114
702	270	114
703	270	113
704	271	113
705	271	113
706	271	112
707	272	112
708	272	111
709	272	111
710	273	111
711	273	110
712	273	110
713	274	109
714	274	109
715	274	108
716	274	108
717	275	108
718	275	107
719	275	107
720	276	106
721	276	106
722	276	105
723	276	105
724	277	105
725	277	104
726	277	104
727	277	103
728	278	103
729	278	103
730	278	102
731	279	102
732	279	101
733	279	101
734	279	100
735	280	100
736	280	100
737	280	99
738	280	99
739	281	98
740	281	98
741	281	98
742	282	97
743	282	97
744	282	96
745	283	96
746	283	95
747	283	95
748	283	95
749	284	94
750	284	94
751	284	93
752	285	93
753	285	93
754	286	92
755	286	92
756	286	92
757	287	91
758	287	91
759	287	90
760	288	90
761	288	90
762	288	89
763	289	89
764	289	88
765	289	88
766	290	88
767	290	87
768	290	87
769	291	86
770	291	86
771	291	86
772	291	85
773	292	85
774	292	84
775	292	84
776	293	84
777	293	83
778	293	83
779	294	82
780	294	82
781	294	82
782	294	81
783	295	81
784	295	80
785	295	80
786	296	80
787	296	79
788	296	79
789	296	78
790	297	78
791	297	78
792	297	77
793	298	77
794	298	76
795	298	76
796	298	76
797	299	75
798	299	75
799	299	74
800	300	74
801	300	74
802	300	73
803	300	73
804	301	73
805	301	72
806	301	72
807	302	71
808	302	71
809	302	71
810	303	70
811	303	70
812	303	69
813	303	69
814	304	69
815	304	68
816	305	68
817	305	67
818	305	67
819	305	67
820	306	66
821	306	66
822	306	65
823	307	65
824	307	65
825	307	64
826	307	64
827	308	63
828	308	63
829	308	63
830	308	62
831	309	62
832	309	62
833	309	61
834	310	61
835	310	60
836	310	60
837	311	60
838	311	59
839	311	59
840	311	58
841	312	58
842	312	58
843	312	57
844	313	57
845	313	57
846	313	56
847	313	56
848	314	55
849	314	55
850	314	55
851	315	54
852	315	54
853	315	53
854	316	53
855	316	53
856	316	52
857	317	52
858	317	52
859	317	51
860	318	51
861	318	50
862	318	50
863	318	50
864	319	49
865	319	49
866	319	49
867	320	48
868	320	48
869	320	47
870	320	47
871	321	47
872	321	46
873	321	46
874	322	46
875	322	45
876	322	45
877	323	44
878	323	44
879	323	44
880	323	43
881	324	43
882	324	42
883	324	42
884	324	42
885	325	41
886	325	41
887	325	41
888	326	40
889	326	40
890	326	39
891	326	39
892	327	39
893	327	38
894	328	38
895	328	38
896	328	37
897	329	37
898	329	37
899	329	36
900	329	36
901	330	35
902	330	35
903	330	35
904	330	34
905	331	34
906	331	33
907	331	33
908	332	33
909	332	32
910	332	32
911	332	32
912	333	31
913	333	31
914	333	31
915	334	30
916	334	30
917	334	29
918	334	29
919	335	29
920	335	28
921	335	28
922	336	28
923	336	27
924	336	27
925	337	26
926	337	26
927	337	26
928	337	25
929	338	25
930	338	25
931	338	24
932	338	24
933	339	23
934	339	23
935	339	23
936	340	22
937	340	22
938	340	22
939	340	21
940	341	21
941	341	21
942	342	20
943	342	20
944	342	19
945	342	19
946	343	19
947	343	18
948	343	18
949	343	18
950	344	17
951	344	17
952	344	17
953	345	16
954	345	16
955	345	15
956	345	15
957	346	15
958	346	14
959	346	14
960	346	14
961	347	13
962	347	13
963	347	12
964	348	12
965	348	12
966	348	11
967	348	11
968	349	11
969	349	10
970	349	10
971	350	10
972	350	9
973	350	9
974	351	9
975	351	8
976	351	8
977	352	7
978	352	7
979	352	7
980	352	6
981	353	6
982	353	6
983	353	5
984	354	5
985	354	5
986	354	4
987	354	4
988	355	3
989	355	3
990	355	3
991	355	2
992	356	2
993	356	2
994	356	1
995	357	1
996	357	1
997	358	0
998	358	0
999	358	0
